held_out_dataset,reannotation_type,nonconformity_score,top1_correct
Banovich_Kropski_2020,Misannotated,0.9914480330124322,True
Banovich_Kropski_2020,Misannotated,0.9980103269266786,True
Banovich_Kropski_2020,Underannotated,0.9985367727558231,True
Banovich_Kropski_2020,Misannotated,0.9932576323965254,True
Banovich_Kropski_2020,Misannotated,0.9498699021858887,True
Banovich_Kropski_2020,Correctly annotated,0.9946642152829138,True
Banovich_Kropski_2020,Correctly annotated,0.7982448196517958,True
Banovich_Kropski_2020,Correctly annotated,0.9946424683879852,True
Banovich_Kropski_2020,Correctly annotated,0.9840920028715494,False
Banovich_Kropski_2020,Correctly annotated,0.9990391114001226,True
Banovich_Kropski_2020,Correctly annotated,0.9954077705652564,True
Banovich_Kropski_2020,Correctly annotated,0.9986999433250726,False
Banovich_Kropski_2020,Misannotated,0.7942256534463203,True
Banovich_Kropski_2020,Misannotated,0.9615205148558269,True
Banovich_Kropski_2020,Underannotated,0.9999975175389251,True
Banovich_Kropski_2020,Misannotated,0.5171995609531026,True
Banovich_Kropski_2020,Correctly annotated,0.8787825200497118,True
Banovich_Kropski_2020,Misannotated,0.9985392786637219,True
Banovich_Kropski_2020,Underannotated,0.9999940247570235,True
Banovich_Kropski_2020,Underannotated,0.5241659309996951,True
Banovich_Kropski_2020,Misannotated,0.9996167801109249,True
Banovich_Kropski_2020,Underannotated,0.9983034351454252,True
Banovich_Kropski_2020,Correctly annotated,0.794445871290019,True
Banovich_Kropski_2020,Correctly annotated,0.9723544295041603,True
Banovich_Kropski_2020,Underannotated,0.999976459345726,True
Banovich_Kropski_2020,Underannotated,0.9999701279871797,True
Banovich_Kropski_2020,Misannotated,0.9618158511825805,False
Banovich_Kropski_2020,Correctly annotated,0.9996610453205284,True
Banovich_Kropski_2020,Correctly annotated,0.9727805212435849,True
Banovich_Kropski_2020,Misannotated,0.9842376966142472,True
Banovich_Kropski_2020,Misannotated,0.6628298013405014,True
Banovich_Kropski_2020,Correctly annotated,0.832513831889886,False
Banovich_Kropski_2020,Misannotated,0.9997375506019112,True
Banovich_Kropski_2020,Misannotated,0.9983462650094872,True
Banovich_Kropski_2020,Correctly annotated,0.9997099862373137,True
